word,clicks,impressions,cost,convertedClicks
plaines,1,1,0.16,0,
vail,3,3,4.6,0,
recard,3,4,5.7700000000000005,0,
jacob,33,40,28.22,0,
goshen,3,5,1.54,0,
kaliee,1,1,0.09,0,
samaha,1,1,0.37,0,
jaeckels,1,1,1.84,0,
andre,7,6,4.72,0,
nackey,2,1,0.3,0,
walentia,1,1,0.49,0,
bernalillo,3,8,4.61,0,
kwawu,1,1,0.61,0,
romesser,1,1,0.51,0,
schoolar,1,1,1.02,0,
margurite,1,1,0.24,0,
certifites,1,1,0.91,0,
plainsman,1,1,1.04,0,
johaly,1,1,0.8,0,
jathaka,1,1,0.05,0,
watson,10,13,8.030000000000001,0,
karolski,1,1,1.55,0,
ryans,1,1,0.84,0,
damon,2,3,0.28,0,
vale,2,2,1.5899999999999999,0,
musson,1,1,0.71,0,
while,1,1,1.32,0,
dekan,1,2,0.6,0,
drum,1,1,0.59,0,
grinnell,2,3,0.73,0,
stephen,47,71,40.04,0,
unlcok,1,1,1.76,0,
reinecker,1,1,1.79,0,
gamino,1,1,0.46,0,
kloehn's,1,1,1.33,0,
monette,2,1,1.34,0,
rashi,4,5,3.23,0,
alyce,1,1,0.38,1,
japinder,1,1,0.38,0,
hilburn,2,2,2.64,0,
indian,40,86,41.50999999999999,0,
matusewicz,1,1,0.25,0,
svec,1,3,0.84,0,
yolanda,5,7,2.44,1,
mendham,2,3,0.6599999999999999,0,
milgrom,1,1,0.66,0,
hanger,1,6,1.0,0,
johann,1,1,1.79,0,
lindenhurst,1,3,0.14,0,
hasse,1,2,1.22,0,
ryals,1,1,0.82,0,
giangrande,1,1,1.35,0,
advance,2,4,1.62,0,
wilcox,9,10,6.670000000000002,1,
elliott,6,9,5.34,0,
irmo,1,1,1.09,0,
grofman,2,1,0.82,0,
its,2,7,1.47,0,
teachers,1,1,0.95,0,
belgrod,1,1,0.79,0,
sayeeda,1,1,0.4,0,
whinnie,1,1,0.3,0,
imogene,1,1,0.76,0,
jonesboro,4,5,4.64,0,
potter,15,17,12.23,0,
certifcarte,1,1,1.63,0,
iud,1,1,0.43,0,
cisler,1,2,0.71,0,
caisse,1,1,0.47,0,
dombroski,2,2,1.0899999999999999,0,
witham,1,1,1.48,0,
nundae,1,1,0.21,0,
spann,2,3,1.38,0,
jorge,5,4,5.03,0,
lozano,1,1,0.24,0,
estherville,1,1,0.97,0,
meaghan,1,1,0.55,0,
helfrich,1,1,0.64,0,
thacker,3,5,1.43,0,
jadee,1,1,0.17,0,
andoe,1,2,0.71,0,
grouchy,1,1,1.06,0,
1945thru1948,1,3,0.36,0,
sylvia,11,11,8.350000000000001,0,
wahiawa,1,1,1.72,0,
pres,1,2,0.09,0,
warren,42,54,32.68,0,
fochtman,1,2,1.0,0,
santosuosso,2,3,0.5800000000000001,0,
hoffland,1,3,0.87,0,
ita,1,1,0.58,0,
albina,1,1,1.88,0,
barkdull,1,1,1.45,0,
powhatan,1,1,0.16,0,
jaden,1,1,0.72,0,
sylvester,2,2,2.38,0,
toget,1,1,0.65,0,
kovalevskaya,1,1,1.5,0,
press,2,1,2.56,0,
remanda,1,1,0.84,0,
steigerwald,1,1,0.83,1,
ivy,4,8,3.75,0,
kalish,1,2,1.0,0,
iron,3,7,4.0,1,
rosalinda,1,1,0.49,0,
bancroft,1,1,1.04,0,
sewell,1,1,0.59,0,
sturtevant,1,1,0.76,0,
muzi,2,7,2.92,0,
reuter,1,1,0.79,0,
bolloon,2,4,0.9,0,
kaluzynski,1,4,0.44,0,
ordyna,1,1,1.48,0,
kuzdzal,1,1,0.73,0,
vaclav,1,0,0.83,0,
switzer,1,1,1.01,0,
rates,6,7,2.8,0,
wrenn,1,0,0.42,0,
cpunty,1,1,1.18,0,
soundcloud,1,1,0.73,0,
hodson,1,2,0.84,0,
iva,1,1,0.99,0,
michigan,524,4066,650.4100000000001,7,
orphans,4,5,9.96,0,
saddleback,1,1,0.33,0,
meisterhans,2,1,1.92,0,
rashifal,10,47,5.64,0,
floralynn,1,1,0.63,0,
courreye,1,1,0.34,0,
ive,2,4,1.9100000000000001,0,
montessori,1,1,0.94,0,
hercules,7,9,3.3000000000000003,0,
emergency,3,6,2.56,0,
requiring,1,1,1.16,0,
woilder,1,1,0.51,0,
hortig's,1,1,0.59,0,
kerby,1,2,0.56,0,
soliel,1,1,1.07,0,
must,1,1,0.59,0,
andis,1,1,2.49,0,
shoemaker,6,9,4.290000000000001,0,
certifiacte,1,1,1.77,0,
friends,17,29,16.21,1,
martuccio,1,1,0.56,0,
iris,4,4,3.5599999999999996,0,
rymond,1,1,1.55,0,
chidreen,1,1,0.65,0,
finklea,1,5,0.65,0,
compton,2,2,1.42,0,
ladell,2,2,0.31,0,
nichols,8,14,5.509999999999999,0,
olewein,1,1,1.3,0,
mutz,1,2,1.89,0,
catherine,41,52,26.459999999999994,0,
pensacola,12,20,11.65,0,
bannister,1,1,0.64,0,
zeus,3,8,1.5100000000000002,0,
luedeker,1,1,0.33,0,
kostanoski,1,7,1.05,0,
vark,1,1,0.88,0,
suzy,1,1,0.27,0,
jorja,1,1,0.03,0,
nichole,6,6,5.220000000000001,0,
amanda,31,42,26.18,0,
cheadle,1,1,0.57,0,
staatsburg,1,1,0.67,0,
ringler,1,2,0.78,0,
lakes,2,2,2.42,0,
serach,1,1,1.19,0,
jquan,1,1,0.85,0,
poche,1,3,0.4,0,
soledad,1,1,1.16,0,
bethlem,1,1,0.96,0,
kerek,1,1,0.61,0,
greenberg,4,8,2.9299999999999997,0,
keree,3,4,2.01,0,
wrestling,1,3,0.81,0,
conway,10,11,9.989999999999998,0,
wilcoxson,1,1,0.82,0,
walnut,2,2,1.21,0,
stephenson,9,11,12.36,1,
rescues,1,7,1.24,0,
mehling,1,1,0.43,0,
irma,7,9,6.399999999999999,1,
ira,7,7,6.84,1,
vinolia,1,1,0.1,0,
domenic,2,2,2.09,0,
giant,2,1,1.28,0,
grubb,1,1,2.03,0,
bancheri,1,1,1.25,0,
