word,clicks,impressions,cost,convertedClicks
accient,1,1,0.99,0,
sylvan,2,2,2.25,0,
joslin,1,1,0.33,0,
brittsh,1,1,0.4,0,
gelman,1,1,0.24,0,
visual,3,285,1.85,0,
negron,1,2,0.46,0,
negros,1,1,0.72,0,
mattern,1,1,0.09,0,
glatt,1,1,0.17,0,
mordecai,1,2,1.25,0,
danci,1,1,1.01,0,
344779934,1,1,1.04,0,
encampments,1,3,0.25,0,
goldin,1,10,0.22,0,
ranking,3,3,2.51,0,
dance,1,1,0.23,0,
jamula,1,1,0.26,0,
placement,2,4,1.13,0,
mustered,2,2,1.52,0,
us_history,1,1,0.34,0,
condella,2,2,1.9,0,
312th,3,5,1.94,0,
philiphines,1,1,0.19,0,
operated,1,2,0.44,0,
savell,1,1,1.01,0,
dekle,1,2,0.63,0,
gettysburg,100,1406,41.81,1,
staley,2,3,1.21,0,
prof,1,1,0.5,0,
rametta,1,1,0.24,0,
rosenstiel,1,2,0.33,0,
donahue,3,4,1.6099999999999999,0,
weber,3,8,1.34,0,
warminski,1,1,0.77,0,
vinsant,1,1,0.64,0,
squadran,1,1,0.56,0,
8158191,1,1,0.85,0,
corean,1,1,0.34,0,
landers,4,7,2.99,0,
bfm4mhy5jm,1,1,0.62,0,
gruca,1,2,0.61,0,
ruman,1,1,0.89,0,
andel,1,1,0.31,0,
pros,2,3,1.36,0,
kupfer,1,1,0.69,0,
danes,1,1,0.36,0,
deacon,1,3,0.7,0,
brother,8,17,3.41,0,
stencils,1,1,1.04,0,
rockwell,1,3,0.84,0,
neubauer,1,2,1.05,0,
connected,1,1,1.03,0,
rockney,1,1,0.48,0,
sebrell,1,1,1.89,0,
brossman,1,6,0.79,0,
ruenzel,1,1,0.47,0,
sammy,2,2,2.24,0,
amirecan,1,1,0.49,0,
goebel,1,1,1.64,0,
tennsee,1,2,1.18,0,
wanty,3,3,0.4,0,
fitzmyer,1,1,0.45,0,
jane's,2,53,0.94,0,
oberman,1,2,0.55,0,
mahoney,3,3,1.56,0,
koppel,1,1,0.9,0,
hemet,2,2,0.89,0,
wants,2,40,0.6,0,
hearing,5,6,4.41,0,
nonfiction,6,23,3.1399999999999997,0,
strongosky,1,1,0.66,1,
mavis,1,1,0.9,0,
infamas,1,2,0.42,0,
iwo,21,34,15.339999999999996,1,
armstead,2,2,1.1,0,
golden,10,18,5.38,0,
irti,1,2,0.04,0,
rozier,1,1,0.11,0,
marauder,1,4,0.23,0,
burton,9,9,4.37,0,
zanuzoski,2,2,0.46,0,
goldie,1,2,0.54,0,
terman,1,1,0.8,0,
officers,66,145,41.03,3,
erup,1,1,0.26,0,
raymond,126,193,81.15999999999998,4,
strieker,1,1,0.63,0,
02313670,1,2,0.96,0,
troopw2,1,1,0.45,0,
purto,2,2,1.35,0,
nesta,1,1,1.05,1,
finding,86,182,100.55000000000001,4,
glass,3,4,2.91,0,
making,1,1,1.1,0,
fultz,1,1,1.02,0,
certificates,14,175,14.810000000000002,0,
zeon,1,1,0.35,0,
torpedoes,1,1,0.9,0,
moyer,1,1,0.12,0,
jucket,1,1,0.43,0,
cotterell,1,1,1.25,0,
chains,1,1,0.87,0,
century,58,3343,20.7,1,
thomasson,1,1,0.82,0,
hanuschak,1,1,0.98,0,
kneale,1,4,0.01,0,
roxie,1,1,0.6,0,
dred,1,1,0.71,0,
bpok,1,1,0.3,0,
target,3,7,2.47,0,
brewer,10,12,5.82,0,
reconstruction,6,36,3.16,0,
herrera,3,7,3.21,0,
bouchard,1,1,0.3,0,
chateau,3,3,1.8399999999999999,1,
dalin,1,2,0.95,0,
jimmy,11,16,5.25,0,
kim,1,1,0.76,0,
stmath,1,1,0.95,0,
dudley,6,6,3.17,0,
kia,137,254,84.32000000000001,0,
wait,1,2,0.25,0,
buehler,1,1,0.33,0,
maluski,1,1,0.12,0,
papadadcm,1,1,0.4,0,
kid,4,8,2.6399999999999997,0,
dobbins,2,3,1.1,0,
sroufe,1,1,0.29,0,
mcminn,2,3,0.95,0,
kin,2,3,1.7400000000000002,0,
uzhgorod,1,1,0.77,0,
kip,1,3,1.08,0,
conspiracies,1,18,0.5,0,
kis,1,4,0.55,0,
marauders,4,5,1.48,0,
collision,1,1,0.5,0,
bujold,1,1,0.91,0,
kit,3,3,2.16,0,
black,112,442,65.77,2,
iv1&v2,1,2,0.79,0,
barzoria,1,1,0.91,0,
hoadey,1,1,0.35,0,
klux,1,2,0.33,0,
jasinski,1,1,0.41,0,
orer,1,3,0.43,0,
hagger,1,1,1.21,0,
beshires,1,1,1.21,0,
elliot,3,4,2.7,0,
stanat,2,2,1.71,0,
gkendakle,1,1,0.2,0,
oreg,1,1,1.28,0,
mcintosh,9,10,4.619999999999999,0,
mounts,1,1,1.27,0,
prvt,1,2,0.62,0,
herrell,2,3,1.5899999999999999,0,
byran,1,1,0.75,0,
oren,3,8,1.62,0,
timothy,10,11,8.549999999999999,0,
flavius,2,3,1.19,0,
owners,1,1,0.2,0,
discovery,1,1,0.69,0,
sisco,1,1,0.71,0,
conmemorative,1,3,0.52,0,
orem,1,1,1.06,0,
broughton,1,1,0.82,0,
classifications,1,1,0.59,0,
ords,2,2,2.29,0,
almeida,1,1,0.88,0,
3641999,1,1,0.7,0,
jeich,1,1,0.35,0,
objectors,9,19,5.569999999999999,0,
matchbook,1,1,0.35,0,
stockert,2,1,1.42,1,
ozanne,2,3,1.47,0,
1075th,1,2,0.99,0,
niedzwiecki,1,2,1.03,0,
visser,1,1,1.18,0,
wagr,2,6,1.0,0,
stein,2,2,1.6800000000000002,0,
halton,1,1,0.88,0,
tezzi,1,1,1.02,0,
bockum,1,1,0.82,1,
gerstner,5,11,2.24,0,
gettys,3,3,1.13,0,
haczynski,1,2,0.14,0,
tilch,1,1,0.25,0,
hungary,4,6,2.15,0,
sunk,36,88,21.419999999999998,1,
berlekamp,1,2,0.27,0,
33779192,1,1,1.03,0,
gi's,6,23,4.890000000000001,0,
boay,1,1,0.25,0,
$40,1,1,0.53,0,
boat,24,90,12.909999999999998,0,
lyndon,2,9,2.68,0,
wafs,1,1,0.83,0,
shipbuilding,2,5,1.5899999999999999,0,
amazing,1,1,0.71,0,
daley,1,1,0.59,0,
speeches,2,4,1.08,0,
465th,2,2,0.52,0,
deirk,1,3,0.54,0,
bobo,1,1,0.88,0,
geehan,1,2,1.01,0,
nothing,1,1,0.26,0,
106th,7,11,4.59,0,
rgiment,1,2,0.59,0,
coombes,1,1,0.96,0,
edition,3,6,1.42,0,
body,2,3,1.87,0,
haggard,1,1,0.27,0,
crandell,1,2,1.2,0,
asftuuxruhddyc&oq,1,1,0.52,0,
robbins,3,6,1.35,0,
jackie,3,6,1.76,0,
blacks,6,12,3.1,0,
kee,2,4,0.72,0,
hudson,13,15,6.7,0,
cleveland,16,21,13.22,0,
rocker,1,2,0.3,0,
rocket,2,9,0.87,0,
ken,6,7,3.8900000000000006,0,
deferment,1,1,0.98,0,
boer,2,2,2.04,0,
ket,1,2,0.63,0,
key,15,41,6.99,0,
afghanistan,6,11,3.8600000000000003,0,
walt,2,2,1.11,0,
dsogvi,1,1,0.96,0,
script,1,2,0.45,0,
clevelamd,1,1,0.44,0,
oran,3,3,3.13,0,
oral,5,9,3.5,0,
deitz,2,3,1.9300000000000002,0,
vernelle,1,1,0.7,0,
wald,1,1,0.71,0,
debarge,1,3,0.35,0,
cove,1,1,0.01,0,
containing,1,2,0.32,0,
persson,1,1,0.82,0,
lightweight,1,1,0.63,0,
war11,8,6,5.33,0,
madine,1,1,0.26,0,
wall,40,131,23.68,0,
