word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
items,70,91380,33.83,1,$33.83 ,,defense,22,107,18.44,0
tx,40,55,33.72,1,$33.72 ,,cook,26,35,18.34,0
douglas,53,97,33.67,1,$33.67 ,,guns,34,380,18.28,0
george,418,764,266.09,8,$33.26 ,,clifford,28,47,18.18,0
company,302,576,164.67,5,$32.93 ,,md,34,50,18.15,0
alabama,127,226,65.86,2,$32.93 ,,cold,38,2215,18.15,0
black,112,442,65.77,2,$32.89 ,,willie,25,60,18.04,0
is,180,293,98.19,3,$32.73 ,,obtain,15,18,18.03,0
ancestry,146,486,160.78,5,$32.16 ,,24,26,36,18,0
submarines,52,671,32.15,1,$32.15 ,,24,26,36,18,0
29th,108,331,64.16,2,$32.08 ,,oregon,29,32,17.99,0
korean,3453,23414,1775.58,56,$31.71 ,,commander,35,68,17.97,0
african,47,102,31.43,1,$31.43 ,,kids,38,509,17.97,0
1st,169,411,94.16,3,$31.39 ,,stewart,24,30,17.93,0
searching,28,35,31.36,1,$31.36 ,,vetern,26,29,17.83,0
georgia,120,183,62.39,2,$31.20 ,,melvin,27,38,17.82,0
history,661,14822,342.15,11,$31.10 ,,slavery,43,1188,17.74,0
years,69,423,30.94,1,$30.94 ,,campbell,25,33,17.6,0
combat,100,236,61.71,2,$30.86 ,,cox,28,40,17.58,0
armored,104,202,61.14,2,$30.57 ,,cause,47,174,17.56,0
captain,121,179,61.07,2,$30.54 ,,gilbert,29,37,17.48,0
anthony,126,174,91.53,3,$30.51 ,,word,29,72,17.44,0
time,53,2523,30.5,1,$30.50 ,,polish,21,69,17.41,0
anderson,55,106,30.49,1,$30.49 ,,landing,28,47,17.35,0
tennessee,122,312,60.95,2,$30.48 ,,grant,32,73,17.21,0
sgt,108,187,60.87,2,$30.44 ,,man,25,33,17.16,0
roy,96,137,60.46,2,$30.23 ,,happened,36,87,17.13,0
served,477,842,269.33,9,$29.93 ,,ward,28,35,17.11,0
dad,51,73,29.87,1,$29.87 ,,anzio,32,107,17.1,0
period,62,90993,29.86,1,$29.86 ,,would,31,50,17.09,0
no,41,116,29.75,1,$29.75 ,,flag,25,472,17.02,0
usmc,123,554,88.88,3,$29.63 ,,citations,34,110,16.99,0
mississippi,60,111,29.47,1,$29.47 ,,uniform,28,1376,16.97,0
missouri,103,195,58.92,2,$29.46 ,,obituary,28,45,16.96,0
canadian,84,151,58.85,2,$29.43 ,,children,29,36,16.95,0
morris,40,51,29.42,1,$29.42 ,,vetran,22,26,16.89,0
pennsylvania,113,209,58.59,2,$29.29 ,,liberty,36,132,16.77,0
prisoner,107,263,58.55,2,$29.27 ,,u,30,99,16.75,0
invasion,51,258,28.99,1,$28.99 ,,quartermaster,24,37,16.72,0
paratrooper,43,106,28.93,1,$28.93 ,,medic,30,50,16.7,0
my,426,1787,375.76,13,$28.90 ,,leaders,39,801,16.66,0
fought,289,1020,144.21,5,$28.84 ,,newton,28,38,16.64,0
bronze,1868,19647,691.05,24,$28.79 ,,carter,25,35,16.62,0
marines,257,892,172.67,6,$28.78 ,,koren,34,79,16.51,0
howard,76,110,57.41,2,$28.71 ,,channel,25,1123,16.38,0
beach,92,332,57.14,2,$28.57 ,,44th,24,57,16.37,0
wayne,46,66,28.56,1,$28.56 ,,fallen,27,33,16.33,0
serving,38,57,28.45,1,$28.45 ,,riley,24,29,16.29,0
1950,78,471,28.43,1,$28.43 ,,important,39,87,16.23,0
campaign,48,221,28.41,1,$28.41 ,,milton,24,35,16.22,0
california,51,77,28.36,1,$28.36 ,,edwards,24,55,16.16,0
louis,132,508,112.85,4,$28.21 ,,marion,31,37,16.1,0
he,48,72,28.11,1,$28.11 ,,lego,23,7393,16.1,0
jose,34,58,27.78,1,$27.78 ,,association,26,173,16.08,0
airforce,34,46,27.44,1,$27.44 ,,august,23,27,16.05,0
france,304,702,191.29,7,$27.33 ,,bay,25,64,16.01,0
28th,41,78,27.23,1,$27.23 ,,matthew,23,44,15.98,0
joseph,379,570,244.25,9,$27.14 ,,great,32,3157,15.97,0
sr,126,195,81.34,3,$27.11 ,,101,22,31,15.96,0
pilots,391,1490,216.87,8,$27.11 ,,101,22,31,15.96,0
flying,46,171,26.91,1,$26.91 ,,bob,23,34,15.93,0
dean,43,56,26.88,1,$26.88 ,,allied,26,378,15.91,0
maryland,58,99,26.69,1,$26.69 ,,rico,24,39,15.83,0
rolls,41,77,26.64,1,$26.64 ,,given,21,26,15.76,0
fight,58,117,26.6,1,$26.60 ,,access,18,31,15.75,0
graves,45,111,26.59,1,$26.59 ,,money,25,185,15.69,0
indiana,150,726,79.6,3,$26.53 ,,tech,19,38,15.67,0
herman,41,52,26.49,1,$26.49 ,,war2,28,50,15.62,0
as,37,52,26.13,1,$26.13 ,,files,21,65,15.55,0
map,97,794,52.23,2,$26.12 ,,23rd,21,38,15.52,0
patton,44,3139,26.1,1,$26.10 ,,letters,29,362,15.5,0
dd214,128,6629,104.19,4,$26.05 ,,antonio,20,35,15.44,0
iowa,107,155,51.76,2,$25.88 ,,brigade,30,46,15.44,0
involved,53,138,25.71,1,$25.71 ,,brothers,30,61,15.42,0
1861,54,669,25.68,1,$25.68 ,,age,24,40,15.41,0
al,40,56,25.65,1,$25.65 ,,project,29,415,15.37,0
battalion,232,417,127.75,5,$25.55 ,,bayonet,30,984,15.27,0
cpl,43,91,25.49,1,$25.49 ,,ended,28,201,15.26,0
andrew,86,119,50.56,2,$25.28 ,,rangers,25,49,15.21,0
uk,23,27,25.24,1,$25.24 ,,forest,26,34,15.18,0
finding,86,182,100.55,4,$25.14 ,,vicksburg,38,446,15.15,0
8th,88,214,49.95,2,$24.98 ,,lyle,19,20,15.15,0
coast,59,94,49.92,2,$24.96 ,,tanks,23,168,15.14,0
wood,36,47,24.74,1,$24.74 ,,it,27,35,15.11,0
curtis,29,45,24.73,1,$24.73 ,,rifle,23,93,15.1,0
mn,27,33,24.71,1,$24.71 ,,42nd,30,64,15.07,0
nj,70,103,49.21,2,$24.61 ,,person,29,32,15.07,0
chicago,39,54,24.51,1,$24.51 ,,those,27,39,15.05,0
online,829,3339,853.19,35,$24.38 ,,jerome,19,22,15.02,0
corp,107,229,72.49,3,$24.16 ,,port,26,35,15.01,0
old,84,136,72.46,3,$24.15 ,,usaaf,24,59,14.95,0
leon,38,63,24.15,1,$24.15 ,,sylvester,22,26,14.93,0
units,122,236,71.92,3,$23.97 ,,police,21,58,14.86,0
r,159,295,95.73,4,$23.93 ,,place,31,55,14.85,0
101st,154,534,95.51,4,$23.88 ,,robinson,24,32,14.84,0
burma,39,129,23.71,1,$23.71 ,,certificates,14,175,14.81,0
jesse,40,53,23.65,1,$23.65 ,,ia,22,27,14.81,0
